phone_number,company_name,title,address1,city,state,postal_code,vendor_lead_code,source,caller_id_pool,priority,comments
8449924414,Inovec Restoration & Construction,Restoration + GC,,Davie/Broward,FL,,InovecRestorationCon,inovecgroup.com,954/754,A,[RESTORATION PARTNERS] Covers Miramar/PP/Coral Springs/Sunrise
9542825224,FirstLine Restoration,Loss contractor,,Broward/PB/Dade,FL,,FirstLineRestoration,firstlinepros.com,954/754,A,[RESTORATION PARTNERS] Mitigation+roofing+reconstruction
9543834534,Water Damage Solutions,Water/mold restoration,,Coral Springs/Broward,FL,,WaterDamageSolutions,waterdamagesolutionsfl.com,954/754,A,[RESTORATION PARTNERS] 24/7 extraction/drying/mold
3055942956,SERVPRO of Doral,Restoration franchise,,Doral/Dade,FL,,SERVPROofDoral,servpro.com,305/786,A,[RESTORATION PARTNERS] IICRC; overflow partner
7866106317,Total Care Restoration,Water/fire/mold,,Doral/Miami/Broward,FL,33166,TotalCareRestoration,totalcarerestoration.com,305/786,A,[RESTORATION PARTNERS] 24/7; multi-county
3054880607,ServiceMaster DSI of Doral,Restoration (40+ yrs),,Doral/Dade,FL,,ServiceMasterDSIofDo,servicemasterrestorations.com,305/786,A,[RESTORATION PARTNERS] Emergency property damage
3056764660,United Water Restoration Group,Full-service restoration,,Doral/Broward/Dade,FL,,UnitedWaterRestorati,unitedwaterrestoration.com,305/786,A,[RESTORATION PARTNERS] Water/fire/storm/sewage/mold
9545485613,"Restore Experts, Inc.",Fire/mold/water,,Hialeah/Dade,FL,,RestoreExpertsInc,restoreexpertsfl.com,305/786,A,[RESTORATION PARTNERS] Serves Hialeah
7869632639,Doral Water Damage Restoration,Water/mold/fire,,Doral,FL,,DoralWaterDamageRest,doralwaterdamagerestoration.com,305/786,A,[RESTORATION PARTNERS] 20+ yrs
8444007274,Rapid Recovery Team,Restoration + construction,,Broward/Dade,FL,,RapidRecoveryTeam,rapidrecoveryteam.com,match county,B,[RESTORATION PARTNERS] Serves Sunrise/Hialeah/Doral
8443798737,Dry Up Restoration,Fire/water restoration,,Pembroke Pines/Miramar/Weston,FL,,DryUpRestoration,dryuprestoration.com,954/754,B,[RESTORATION PARTNERS] Covers severe-tier cities
